CHILDREN	NOUN	child
OF	ADP	of
THE	DET	the
LENS	PROPN	LENS
BY	PROPN	BY
E.	PROPN	E.
E.	PROPN	E.
SMITH	PROPN	SMITH
Illustrated	VERB	illustrate
by	ADP	by
Rogers	PROPN	Rogers
MESSAGE	PROPN	MESSAGE
OF	ADP	of
TRANSMITTAL	PROPN	TRANSMITTAL
SUBJECT	PROPN	SUBJECT
:	PUNCT	:
The	DET	the
Conclusion	NOUN	conclusion
of	ADP	of
the	DET	the
Boskonian	PROPN	Boskonian
War	PROPN	War
;	PUNCT	;
A	DET	a
Report	NOUN	report
:	PUNCT	:
BY	ADP	by
:	PUNCT	:
Christopher	PROPN	Christopher
Kinnison	PROPN	Kinnison
,	PUNCT	,
L3	PROPN	L3
,	PUNCT	,
of	ADP	of
Klovia	PROPN	Klovia
:	PUNCT	:
TO	ADP	to
:	PUNCT	:
The	DET	the
Entity	NOUN	entity
Able	ADJ	able
to	PART	to
Obtain	VERB	obtain
and	CCONJ	and
to	PART	to
Read	VERB	read
It	PRON	it
.	PUNCT	.
To	ADP	to
you	PRON	you
,	PUNCT	,
the	DET	the
third	ADJ	third
-	PUNCT	-
level	NOUN	level
intellect	NOUN	intellect
who	PRON	who
has	AUX	have
been	AUX	be
guided	VERB	guide
to	ADP	to
this	DET	this
imperishable	ADJ	imperishable
container	NOUN	container
and	CCONJ	and
who	PRON	who
is	AUX	be
able	ADJ	able
to	PART	to
break	VERB	break
the	DET	the
Seal	PROPN	Seal
and	CCONJ	and
to	PART	to
read	VERB	read
this	DET	this
tape	NOUN	tape
,	PUNCT	,
and	CCONJ	and
to	ADP	to
your	PRON	your
fellows	NOUN	fellow
,	PUNCT	,
greetings	NOUN	greeting
:	PUNCT	:
For	ADP	for
reasons	NOUN	reason
which	DET	which
will	AUX	will
become	VERB	become
obvious	ADJ	obvious
,	PUNCT	,
this	DET	this
report	NOUN	report
will	AUX	will
not	PART	not
be	AUX	be
made	VERB	make
available	ADJ	available
for	ADP	for
an	DET	an
indefinite	ADJ	indefinite
but	CCONJ	but
very	ADV	very
long	ADJ	long
time	NOUN	time
;	PUNCT	;
perhaps	ADV	perhaps
ten	NUM	ten
million	NUM	million
,	PUNCT	,
perhaps	ADV	perhaps
ten	NUM	ten
million	NUM	million
million	NUM	million
Galactic	PROPN	Galactic
-	PUNCT	-
Standard	PROPN	Standard
years	NOUN	year
;	PUNCT	;
my	PRON	my
present	ADJ	present
visualization	NOUN	visualization
of	ADP	of
the	DET	the
Cosmic	PROPN	Cosmic
All	PROPN	All
does	AUX	do
not	PART	not
extend	VERB	extend
to	ADP	to
the	DET	the
time	NOUN	time
at	ADP	at
which	DET	which
such	ADJ	such
action	NOUN	action
will	AUX	will
become	VERB	become
necessary	ADJ	necessary
.	PUNCT	.
Therefore	ADV	therefore
it	PRON	it
is	AUX	be
desirable	ADJ	desirable
to	PART	to
review	VERB	review
briefly	ADV	briefly
the	DET	the
most	ADV	most
pertinent	ADJ	pertinent
facts	NOUN	fact
of	ADP	of
the	DET	the
earlier	ADJ	early
phases	NOUN	phase
of	ADP	of
Civilization	NOUN	civilization
's	PART	's
climatic	ADJ	climatic
conflict	NOUN	conflict
;	PUNCT	;
information	NOUN	information
which	DET	which
,	PUNCT	,
while	SCONJ	while
widely	ADV	widely
known	VERB	know
at	ADP	at
present	ADJ	present
,	PUNCT	,
will	AUX	will
probably	ADV	probably
in	ADP	in
that	DET	that
future	ADJ	future
time	NOUN	time
exist	VERB	exist
otherwise	ADV	otherwise
only	ADV	only
in	ADP	in
the	DET	the
memories	NOUN	memory
of	ADP	of
my	PRON	my
descendants	NOUN	descendant
.	PUNCT	.
In	ADP	in
early	ADJ	early
Civilization	PROPN	Civilization
law	NOUN	law
enforcement	NOUN	enforcement
lagged	VERB	lag
behind	ADP	behind
crime	NOUN	crime
because	SCONJ	because
the	DET	the
police	NOUN	police
were	AUX	be
limited	VERB	limit
in	ADP	in
their	PRON	their
spheres	NOUN	sphere
of	ADP	of
action	NOUN	action
,	PUNCT	,
while	SCONJ	while
criminals	NOUN	criminal
were	AUX	be
not	PART	not
.	PUNCT	.
Each	DET	each
technological	ADJ	technological
advance	NOUN	advance
made	VERB	make
that	DET	that
condition	NOUN	condition
worse	ADJ	bad
until	ADP	until
finally	ADV	finally
,	PUNCT	,
when	SCONJ	when
Bergenholm	PROPN	Bergenholm
so	ADV	so
perfected	VERB	perfect
the	DET	the
crude	ADJ	crude
inertialess	NOUN	inertialess
space	NOUN	space
-	PUNCT	-
drive	NOUN	drive
of	ADP	of
Rodebush	PROPN	Rodebush
and	CCONJ	and
Cleveland	PROPN	Cleveland
that	SCONJ	that
commerce	NOUN	commerce
throughout	ADP	throughout
the	DET	the
Galaxy	PROPN	Galaxy
became	VERB	become
an	NOUN	an
actuality	NOUN	actuality
,	PUNCT	,
crime	NOUN	crime
began	VERB	begin
to	PART	to
threaten	VERB	threaten
Civilization	PROPN	Civilization
's	PART	's
very	ADJ	very
existence	NOUN	existence
.	PUNCT	.
Of	ADV	of
course	ADV	course
it	PRON	it
was	AUX	be
not	PART	not
then	ADV	then
suspected	VERB	suspect
that	SCONJ	that
there	PRON	there
was	AUX	be
anything	PRON	anything
organized	ADJ	organized
,	PUNCT	,
coherent	ADJ	coherent
,	PUNCT	,
or	CCONJ	or
of	ADP	of
large	ADJ	large
purpose	NOUN	purpose
about	ADP	about
this	DET	this
crime	NOUN	crime
.	PUNCT	.
Centuries	NOUN	century
were	AUX	be
to	PART	to
pass	VERB	pass
before	ADP	before
my	PRON	my
father	NOUN	father
,	PUNCT	,
Kimball	PROPN	Kimball
Kinnison	PROPN	Kinnison
of	ADP	of
Tellus	PROPN	Tellus
,	PUNCT	,
now	ADV	now
Galactic	PROPN	Galactic
Co	PROPN	Co
-	NOUN	-
ordinator	NOUN	ordinator
,	PUNCT	,
was	AUX	be
to	PART	to
prove	VERB	prove
that	SCONJ	that
Boskonia	PROPN	Boskonia
,	PUNCT	,
an	DET	an
autocratic	ADJ	autocratic
,	PUNCT	,
dictatorial	ADJ	dictatorial
culture	NOUN	culture
diametrically	ADV	diametrically
opposed	ADJ	opposed
to	ADP	to
every	DET	every
ideal	NOUN	ideal
of	ADP	of
Civilization	PROPN	Civilization
--	PUNCT	--
was	AUX	be
,	PUNCT	,
in	ADP	in
fact	NOUN	fact
,	PUNCT	,
back	ADV	back
of	ADP	of
practically	ADV	practically
all	DET	all
of	ADP	of
the	DET	the
pernicious	ADJ	pernicious
activities	NOUN	activity
of	ADP	of
the	DET	the
First	PROPN	First
Galaxy	PROPN	Galaxy
.	PUNCT	.
Even	ADV	even
my	PRON	my
father	NOUN	father
,	PUNCT	,
however	ADV	however
,	PUNCT	,
has	AUX	have
never	ADV	never
had	AUX	have
any	DET	any
inkling	NOUN	inkling
either	CCONJ	either
of	ADP	of
the	DET	the
existence	NOUN	existence
and	CCONJ	and
the	DET	the
doings	NOUN	doing
of	ADP	of
the	DET	the
Eddorians	PROPN	Eddorians
or	CCONJ	or
of	ADP	of
the	DET	the
fundamental	ADJ	fundamental
_	PUNCT	_
raison	X	raison
d'etre	X	d'etre
_	PUNCT	_
of	ADP	of
the	DET	the
Galactic	PROPN	Galactic
Patrol	PROPN	Patrol
--	PUNCT	--
facts	NOUN	fact
which	DET	which
can	AUX	can
never	ADV	never
be	AUX	be
revealed	VERB	reveal
to	ADP	to
any	DET	any
mind	NOUN	mind
not	PART	not
inherently	ADV	inherently
stable	ADJ	stable
at	ADP	at
the	DET	the
third	ADJ	third
level	NOUN	level
of	ADP	of
stress	NOUN	stress
.	PUNCT	.
Virgil	PROPN	Virgil
Samms	PROPN	Samms
,	PUNCT	,
then	ADV	then
Chief	PROPN	Chief
of	ADP	of
the	DET	the
Secret	PROPN	Secret
Service	PROPN	Service
of	ADP	of
the	DET	the
Triplanetary	PROPN	Triplanetary
League	PROPN	League
,	PUNCT	,
perceived	VERB	perceive
the	DET	the
general	ADJ	general
situation	NOUN	situation
and	CCONJ	and
foresaw	VERB	foresee
the	DET	the
shape	NOUN	shape
of	ADP	of
the	DET	the
inevitable	ADJ	inevitable
.	PUNCT	.
He	PRON	he
realized	VERB	realize
that	SCONJ	that
unless	SCONJ	unless
and	CCONJ	and
until	ADP	until
his	PRON	his
organization	NOUN	organization
could	AUX	could
secure	VERB	secure
an	DET	an
identifying	VERB	identify
symbol	NOUN	symbol
which	DET	which
could	AUX	could
not	PART	not
be	AUX	be
counterfeited	VERB	counterfeit
,	PUNCT	,
police	NOUN	police
work	NOUN	work
would	AUX	would
remain	VERB	remain
relatively	ADV	relatively
ineffectual	ADJ	ineffectual
.	PUNCT	.
Tellurian	ADJ	tellurian
science	NOUN	science
had	AUX	have
done	VERB	do
its	PRON	its
best	ADJ	good
in	ADP	in
the	DET	the
golden	ADJ	golden
meteors	NOUN	meteor
of	ADP	of
Triplanetary	PROPN	Triplanetary
's	PART	's
Secret	PROPN	Secret
Service	PROPN	Service
,	PUNCT	,
and	CCONJ	and
its	PRON	its
best	ADJ	good
was	AUX	be
not	PART	not
good	ADJ	good
enough	ADV	enough
.	PUNCT	.
Virgil	PROPN	Virgil
Samms	PROPN	Samms
became	VERB	become
the	DET	the
first	ADJ	first
wearer	NOUN	wearer
of	ADP	of
Arisia	PROPN	Arisia
's	PART	's
Lens	PROPN	Lens
,	PUNCT	,
and	CCONJ	and
during	ADP	during
his	PRON	his
life	NOUN	life
he	PRON	he
began	VERB	begin
the	DET	the
rigid	ADJ	rigid
selection	NOUN	selection
of	ADP	of
those	DET	those
worthy	ADJ	worthy
of	ADP	of
wearing	VERB	wear
it	PRON	it
.	PUNCT	.
For	NOUN	For
centuries	NOUN	century
the	DET	the
Patrol	NOUN	patrol
grew	VERB	grow
and	CCONJ	and
spread	VERB	spread
.	PUNCT	.
It	PRON	it
became	VERB	become
widely	ADV	widely
known	ADJ	known
that	SCONJ	that
the	DET	the
Lens	PROPN	Lens
was	AUX	be
a	DET	a
perfect	ADJ	perfect
telepath	NOUN	telepath
,	PUNCT	,
that	SCONJ	that
it	PRON	it
glowed	VERB	glow
with	ADP	with
colored	VERB	color
light	NOUN	light
only	ADV	only
when	SCONJ	when
worn	VERB	wear
by	ADP	by
the	DET	the
individual	NOUN	individual
to	ADP	to
whose	DET	whose
ego	NOUN	ego
it	PRON	it
was	AUX	be
attuned	VERB	attune
,	PUNCT	,
