TANAR	PROPN	TANAR
OF	ADP	of
PELLUCIDAR	PROPN	PELLUCIDAR
EDGAR	PROPN	EDGAR
RICE	PROPN	RICE
BURROUGHS	PROPN	BURROUGHS
ACE	PROPN	ACE
BOOKS	PROPN	BOOKS
,	PUNCT	,
INC	PROPN	INC
.	PROPN	.
1120	NUM	1120
Avenue	PROPN	Avenue
of	ADP	of
the	DET	the
Americas	PROPN	Americas
New	PROPN	New
York	PROPN	York
36	NUM	36
,	PUNCT	,
N.Y.	PROPN	N.Y.
This	DET	this
Ace	PROPN	Ace
edition	NOUN	edition
follows	VERB	follow
the	DET	the
text	NOUN	text
of	ADP	of
the	DET	the
first	ADJ	first
hard	ADJ	hard
-	PUNCT	-
cover	NOUN	cover
book	NOUN	book
edition	NOUN	edition
,	PUNCT	,
originally	ADV	originally
published	VERB	publish
in	ADP	in
1929	NUM	1929
.	PUNCT	.
<	PUNCT	<
i	X	i
>	X	>
Cover	NOUN	cover
art	NOUN	art
and	CCONJ	and
title	NOUN	title
page	NOUN	page
illustration	NOUN	illustration
by	ADP	by
Roy	PROPN	Roy
Krenkel	PROPN	Krenkel
,	PUNCT	,
Jr.</i	X	jr.</i
>	X	>
To	ADP	to
Joan	PROPN	Joan
Burroughs	PROPN	Burroughs
Pierce	PROPN	Pierce
II	PROPN	II
Edgar	PROPN	Edgar
Rice	PROPN	Rice
Burroughs	PROPN	Burroughs
<	X	<
i	X	i
>	X	>
available	ADJ	available
in	ADP	in
Ace	PROPN	Ace
Books:</i	X	books:</i
>	X	>
AT	ADP	at
THE	DET	the
EARTH	PROPN	EARTH
'S	PROPN	'S
CORE	PROPN	CORE
(	PUNCT	(
F-156	PROPN	F-156
)	PUNCT	)
THE	DET	the
MOON	PROPN	MOON
MAID	PROPN	MAID
(	PUNCT	(
F-157	PROPN	F-157
)	PUNCT	)
PELLUCIDAR	PROPN	PELLUCIDAR
(	PUNCT	(
F-158	NUM	f-158
)	PUNCT	)
THE	DET	the
MOON	PROPN	MOON
MEN	PROPN	MEN
(	PUNCT	(
F-159	PROPN	F-159
)	PUNCT	)
THUVIA	PROPN	THUVIA
,	PUNCT	,
MAID	PROPN	MAID
OF	ADP	of
MARS	PROPN	MARS
(	PUNCT	(
F-168	NUM	f-168
)	PUNCT	)
TARZAN	PROPN	TARZAN
AND	CCONJ	and
THE	DET	the
LOST	PROPN	LOST
EMPIRE	PROPN	EMPIRE
(	PUNCT	(
F-169	PROPN	F-169
)	PUNCT	)
THE	DET	the
CHESSMEN	PROPN	CHESSMEN
OF	ADP	of
MARS	PROPN	MARS
(	PUNCT	(
F-170	PROPN	F-170
)	PUNCT	)
Printed	VERB	print
in	ADP	in
U.S.A.	PROPN	U.S.A.
CONTENTS	NOUN	content
Prologue	NOUN	prologue
Introduction	NOUN	introduction
I	X	i
Stellara	PROPN	Stellara
II	NUM	ii
Disaster	NOUN	disaster
III	NUM	iii
Amiocap	PROPN	Amiocap
IV	PROPN	IV
Letari	PROPN	Letari
V	PROPN	V
The	DET	the
Tandor	PROPN	Tandor
